longitude,latitude
67.82525,34.84694
64.51605556,34.39655556
20.13333333,40.06944444
20.02611111,39.75111111
4.78684,35.81844
9,25.5
3.68333,32.48333
5.73667,36.32056
2.383333333,36.55
6.63333,35.45
3.06028,36.78333
1.595555556,42.49472222
-61.76166667,17.00694444
-73.24944,-50
-54.13333333,-25.51805556
-70.66666667,-47.15
-64,-42.5
-68,-30
-64.19111,-31.42056
-65.34886111,-23.19986111
44.71028,41.095
44.79667,40.15889
44.29514,40.15931
132.8333333,-12.83333333
147.7,-18.28611111
151.2152778,-33.85666667
143,-34
145.4166667,-41.58333333
159.0883333,-31.56555556
150.05,-28.25
131,-25.33333333
144.9666667,-15.65
73.5,-53.1
113.4361111,-25.48611111
158.8955556,-54.59472222
153.1333333,-25.21666667
138.7166667,-19.08333333
150,-33.7
128.5,-17.5
144.9702778,-37.80611111
150.9944444,-33.37833333
113.8102778,-22.5625
13.04333333,47.80055556
15.82797222,47.64877778
16.31333333,48.18666667
13.64638889,47.55944444
15.39166667,47.07416667
15.43416667,48.36444444
16.38333333,48.21666667
49.83333333,40.36666667
49.375,40.125
50.52722222,26.23306
50.61351,26.24128
89.8,22.66667
88.98333333,25.03333333
89.18333,21.95
-59.61388889,13.09666667
26.47272222,53.45108333
26.69139,53.22278
4.47375,51.03097222
4.13722,50.48111
4.35242,50.84668
3.22527,51.20891
4.36223,50.82806
3.97879,50.43077
3.38926,50.60603
4.39778,51.21833
4.416111111,50.835
3.838333333,50.43527778
-87.05833333,16.75
1.983333333,7.183333333
-65.75306,-19.58361
-60.5,-16
-65.25917,-19.04306
-68.67778,-16.55833333
-63.81666667,-18.16666667
-60.86667,-14.26667
17.81092,43.34812
19.288025,43.78144444
21.73333333,-18.75
22.9,-19.28333333
-43.50555556,-20.38888889
-34.845,-8.013333333
-38.5,-12.96666667
-43.85777778,-20.49972222
-54.43333,-25.68333
-47.9,-15.78333
-42.33333333,-8.416666667
-44.3025,-2.514166667
-43.6,-18.23333333
-39.25,-16.5
-48,-24.16667
-50.13336,-15.93328
-62.00833333,-2.333333333
-57.38333,-17.71667
-32.42511111,-3.857944444
-47.68461111,-14.00569444
-43.29138889,-22.94777778
-37.21,-11.01611111
-43.97361111,-19.85194444
23.26666667,42.65
27.15,43.3
25.4,42.61666667
25.96666667,43.71666667
23.4,42.11666667
27.73,42.65611
27.07806,44.11444
23.43047222,41.74272222
26.66667,43.66667
-3.583333333,10.25
-23.60519444,14.91513889
103.8333333,13.43333333
104.6838889,14.38833333
13,3
-55.61666667,51.46666667
-125.5894444,61.54722222
-111.4922222,50.76777778
-131.2202778,52.095
-113.6238889,49.74944444
-112.2933333,59.35833333
-71.21055556,46.80944444
-116.4797222,51.42472222
-57.53138889,49.6125
-66.35305556,48.105
-64.30916667,44.37611111
-75.765125,44.99438611
-64.43583333,45.70972222
-64.30722222,45.11833333
-56.42952222,51.726925
-53.21111111,46.635
21.5,9
20.50555556,19.055
21.86277778,17.04166667
-109.45,-27.15
-71.628,-33.04063889
-73.76666667,-42.5
-69.79406,-20.20582
-70.38277778,-34.08444444
117.1,36.26667
